sampleDate,sampleTime,Temperature
5/21/2008,10:58:14,6.65
5/21/2008,11:13:14,6.81
5/21/2008,11:28:14,6.96
5/21/2008,11:43:14,6.96
5/21/2008,11:58:14,6.96
5/21/2008,12:13:14,6.96
5/21/2008,12:28:14,6.81
5/21/2008,12:43:14,7.27
5/21/2008,12:58:14,7.58
5/21/2008,13:13:14,7.74
5/21/2008,13:28:14,7.74
5/21/2008,13:43:14,7.89
5/21/2008,13:58:14,7.89
5/21/2008,14:13:14,8.05
5/21/2008,14:28:14,8.21
5/21/2008,14:43:14,8.36
5/21/2008,14:58:14,8.36
5/21/2008,15:13:14,8.52
5/21/2008,15:28:14,8.52
5/21/2008,15:43:14,8.21
5/21/2008,15:58:14,8.36
5/21/2008,16:13:14,8.36
5/21/2008,16:28:14,8.52
5/21/2008,16:43:14,8.52
5/21/2008,16:58:14,8.52
5/21/2008,17:13:14,8.52
5/21/2008,17:28:14,8.52
5/21/2008,17:43:14,8.52
5/21/2008,17:58:14,8.52
5/21/2008,18:13:14,8.52
5/21/2008,18:28:14,8.52
5/21/2008,18:43:14,8.52
5/21/2008,18:58:14,8.36
5/21/2008,19:13:14,8.36
5/21/2008,19:28:14,8.36
5/21/2008,19:43:14,8.21
5/21/2008,19:58:14,8.21
5/21/2008,20:13:14,8.21
5/21/2008,20:28:14,8.21
5/21/2008,20:43:14,8.05
5/21/2008,20:58:14,8.05
5/21/2008,21:13:14,8.05
5/21/2008,21:28:14,7.89
5/21/2008,21:43:14,7.89
5/21/2008,21:58:14,7.89
5/21/2008,22:13:14,7.89
5/21/2008,22:28:14,7.89
5/21/2008,22:43:14,7.74
5/21/2008,22:58:14,7.74
5/21/2008,23:13:14,7.74
5/21/2008,23:28:14,7.74
5/21/2008,23:43:14,7.58
5/21/2008,23:58:14,7.58
5/22/2008,0:13:14,7.58
5/22/2008,0:28:14,7.58
5/22/2008,0:43:14,7.43
5/22/2008,0:58:14,7.43
5/22/2008,1:13:14,7.43
5/22/2008,1:28:14,7.43
5/22/2008,1:43:14,7.43
5/22/2008,1:58:14,7.43
5/22/2008,2:13:14,7.27
5/22/2008,2:28:14,7.27
5/22/2008,2:43:14,7.27
5/22/2008,2:58:14,7.27
5/22/2008,3:13:14,7.27
5/22/2008,3:28:14,7.12
5/22/2008,3:43:14,7.12
5/22/2008,3:58:14,7.12
5/22/2008,4:13:14,6.96
5/22/2008,4:28:14,6.96
5/22/2008,4:43:14,6.96
5/22/2008,4:58:14,6.96
5/22/2008,5:13:14,6.96
5/22/2008,5:28:14,6.81
5/22/2008,5:43:14,6.81
5/22/2008,5:58:14,6.81
5/22/2008,6:13:14,6.65
5/22/2008,6:28:14,6.65
5/22/2008,6:43:14,6.65
5/22/2008,6:58:14,6.65
5/22/2008,7:13:14,6.65
5/22/2008,7:28:14,6.65
5/22/2008,7:43:14,6.65
5/22/2008,7:58:14,6.65
5/22/2008,8:13:14,6.65
5/22/2008,8:28:14,6.65
5/22/2008,8:43:14,6.81
5/22/2008,8:58:14,6.81
5/22/2008,9:13:14,6.81
5/22/2008,9:28:14,6.81
5/22/2008,9:43:14,6.81
5/22/2008,9:58:14,6.65
5/22/2008,10:13:14,6.65
5/22/2008,10:28:14,6.81
5/22/2008,10:43:14,6.96
5/22/2008,10:58:14,7.12
5/22/2008,11:13:14,7.27
5/22/2008,11:28:14,7.27
5/22/2008,11:43:14,7.43
5/22/2008,11:58:14,7.27
5/22/2008,12:13:14,7.43
5/22/2008,12:28:14,7.27
5/22/2008,12:43:14,7.74
5/22/2008,12:58:14,7.89
5/22/2008,13:13:14,7.89
5/22/2008,13:28:14,8.05
5/22/2008,13:43:14,8.21
5/22/2008,13:58:14,8.21
5/22/2008,14:13:14,8.36
5/22/2008,14:28:14,8.52
5/22/2008,14:43:14,8.52
5/22/2008,14:58:14,8.67
5/22/2008,15:13:14,8.82
5/22/2008,15:28:14,8.67
5/22/2008,15:43:14,8.82
5/22/2008,15:58:14,8.82
5/22/2008,16:13:14,8.82
5/22/2008,16:28:14,8.82
5/22/2008,16:43:14,8.82
5/22/2008,16:58:14,8.98
5/22/2008,17:13:14,8.82
5/22/2008,17:28:14,8.82
5/22/2008,17:43:14,8.67
5/22/2008,17:58:14,8.67
5/22/2008,18:13:14,8.67
5/22/2008,18:28:14,8.67
5/22/2008,18:43:14,8.67
5/22/2008,18:58:14,8.67
5/22/2008,19:13:14,8.52
5/22/2008,19:28:14,8.52
5/22/2008,19:43:14,8.52
5/22/2008,19:58:14,8.52
5/22/2008,20:13:14,8.36
5/22/2008,20:28:14,8.36
5/22/2008,20:43:14,8.21
5/22/2008,20:58:14,8.21
5/22/2008,21:13:14,8.21
5/22/2008,21:28:14,8.21
5/22/2008,21:43:14,8.21
5/22/2008,21:58:14,8.21
5/22/2008,22:13:14,8.05
5/22/2008,22:28:14,8.05
5/22/2008,22:43:14,8.05
5/22/2008,22:58:14,8.05
5/22/2008,23:13:14,8.05
5/22/2008,23:28:14,8.05
5/22/2008,23:43:14,7.89
5/22/2008,23:58:14,7.89
5/23/2008,0:13:14,7.89
5/23/2008,0:28:14,7.89
5/23/2008,0:43:14,7.89
5/23/2008,0:58:14,7.89
5/23/2008,1:13:14,7.89
5/23/2008,1:28:14,7.89
5/23/2008,1:43:14,7.89
5/23/2008,1:58:14,7.89
5/23/2008,2:13:14,7.89
5/23/2008,2:28:14,7.74
5/23/2008,2:43:14,7.74
5/23/2008,2:58:14,7.74
5/23/2008,3:13:14,7.74
5/23/2008,3:28:14,7.74
5/23/2008,3:43:14,7.74
5/23/2008,3:58:14,7.74
5/23/2008,4:13:14,7.74
5/23/2008,4:28:14,7.58
5/23/2008,4:43:14,7.58
5/23/2008,4:58:14,7.58
5/23/2008,5:13:14,7.58
5/23/2008,5:28:14,7.43
5/23/2008,5:43:14,7.43
5/23/2008,5:58:14,7.43
5/23/2008,6:13:14,7.43
5/23/2008,6:28:14,7.43
5/23/2008,6:43:14,7.27
5/23/2008,6:58:14,7.27
5/23/2008,7:13:14,7.27
5/23/2008,7:28:14,7.27
5/23/2008,7:43:14,7.27
5/23/2008,7:58:14,7.12
5/23/2008,8:13:14,7.12
5/23/2008,8:28:14,7.12
5/23/2008,8:43:14,7.12
5/23/2008,8:58:14,7.12
5/23/2008,9:13:14,6.96
5/23/2008,9:28:14,6.96
5/23/2008,9:43:14,6.96
5/23/2008,9:58:14,7.12
5/23/2008,10:13:14,7.12
5/23/2008,10:28:14,7.12
5/23/2008,10:43:14,7.27
5/23/2008,10:58:14,7.27
5/23/2008,11:13:14,7.27
5/23/2008,11:28:14,7.27
5/23/2008,11:43:14,7.43
5/23/2008,11:58:14,7.27
5/23/2008,12:13:14,7.27
5/23/2008,12:28:14,7.43
5/23/2008,12:43:14,7.58
5/23/2008,12:58:14,7.43
5/23/2008,13:13:14,7.43
5/23/2008,13:28:14,7.74
5/23/2008,13:43:14,7.74
5/23/2008,13:58:14,7.74
5/23/2008,14:13:14,8.05
5/23/2008,14:28:14,8.21
5/23/2008,14:43:14,8.05
5/23/2008,14:58:14,8.36
5/23/2008,15:13:14,8.21
5/23/2008,15:28:14,8.36
5/23/2008,15:43:14,8.36
5/23/2008,15:58:14,8.36
5/23/2008,16:13:14,8.52
5/23/2008,16:28:14,8.36
5/23/2008,16:43:14,8.52
5/23/2008,16:58:14,8.52
5/23/2008,17:13:14,8.67
5/23/2008,17:28:14,8.82
5/23/2008,17:43:14,8.82
5/23/2008,17:58:14,8.82
5/23/2008,18:13:14,8.98
5/23/2008,18:28:14,8.98
5/23/2008,18:43:14,8.82
5/23/2008,18:58:14,8.82
5/23/2008,19:13:14,8.82
5/23/2008,19:28:14,8.82
5/23/2008,19:43:14,8.82
5/23/2008,19:58:14,8.67
5/23/2008,20:13:14,8.67
5/23/2008,20:28:14,8.67
5/23/2008,20:43:14,8.67
5/23/2008,20:58:14,8.52
5/23/2008,21:13:14,8.52
5/23/2008,21:28:14,8.52
5/23/2008,21:43:14,8.52
5/23/2008,21:58:14,8.52
5/23/2008,22:13:14,8.52
5/23/2008,22:28:14,8.36
5/23/2008,22:43:14,8.36
5/23/2008,22:58:14,8.36
5/23/2008,23:13:14,8.21
5/23/2008,23:28:14,8.21
5/23/2008,23:43:14,8.21
5/23/2008,23:58:14,8.21
5/24/2008,0:13:14,8.05
5/24/2008,0:28:14,8.05
5/24/2008,0:43:14,8.05
5/24/2008,0:58:14,7.89
5/24/2008,1:13:14,7.89
5/24/2008,1:28:14,7.89
5/24/2008,1:43:14,7.89
5/24/2008,1:58:14,7.74
5/24/2008,2:13:14,7.74
5/24/2008,2:28:14,7.74
5/24/2008,2:43:14,7.58
5/24/2008,2:58:14,7.58
5/24/2008,3:13:14,7.43
5/24/2008,3:28:14,7.43
5/24/2008,3:43:14,7.43
5/24/2008,3:58:14,7.27
5/24/2008,4:13:14,7.27
5/24/2008,4:28:14,7.27
5/24/2008,4:43:14,7.27
5/24/2008,4:58:14,7.12
5/24/2008,5:13:14,7.12
5/24/2008,5:28:14,7.12
5/24/2008,5:43:14,6.96
5/24/2008,5:58:14,6.96
5/24/2008,6:13:14,6.96
5/24/2008,6:28:14,6.96
5/24/2008,6:43:14,6.81
5/24/2008,6:58:14,6.81
5/24/2008,7:13:14,6.81
5/24/2008,7:28:14,6.81
5/24/2008,7:43:14,6.81
5/24/2008,7:58:14,6.65
5/24/2008,8:13:14,6.65
5/24/2008,8:28:14,6.65
5/24/2008,8:43:14,6.65
5/24/2008,8:58:14,6.65
5/24/2008,9:13:14,6.65
5/24/2008,9:28:14,6.65
5/24/2008,9:43:14,6.65
5/24/2008,9:58:14,6.65
5/24/2008,10:13:14,6.65
5/24/2008,10:28:14,6.65
5/24/2008,10:43:14,6.65
5/24/2008,10:58:14,6.65
5/24/2008,11:13:14,6.65
5/24/2008,11:28:14,6.65
5/24/2008,11:43:14,6.65
5/24/2008,11:58:14,6.65
5/24/2008,12:13:14,6.81
5/24/2008,12:28:14,6.81
5/24/2008,12:43:14,6.81
5/24/2008,12:58:14,6.81
5/24/2008,13:13:14,6.81
5/24/2008,13:28:14,6.81
5/24/2008,13:43:14,6.81
5/24/2008,13:58:14,6.81
5/24/2008,14:13:14,6.81
5/24/2008,14:28:14,6.81
5/24/2008,14:43:14,6.81
5/24/2008,14:58:14,6.81
5/24/2008,15:13:14,6.96
5/24/2008,15:28:14,6.96
5/24/2008,15:43:14,6.96
5/24/2008,15:58:14,6.81
5/24/2008,16:13:14,6.96
5/24/2008,16:28:14,6.96
5/24/2008,16:43:14,7.12
5/24/2008,16:58:14,7.27
5/24/2008,17:13:14,7.43
5/24/2008,17:28:14,7.43
5/24/2008,17:43:14,7.43
5/24/2008,17:58:14,7.27
5/24/2008,18:13:14,7.27
5/24/2008,18:28:14,7.27
5/24/2008,18:43:14,7.58
5/24/2008,18:58:14,7.58
5/24/2008,19:13:14,7.43
5/24/2008,19:28:14,7.43
5/24/2008,19:43:14,7.43
5/24/2008,19:58:14,7.27
5/24/2008,20:13:14,7.27
5/24/2008,20:28:14,7.27
5/24/2008,20:43:14,7.27
5/24/2008,20:58:14,7.27
5/24/2008,21:13:14,7.12
5/24/2008,21:28:14,7.12
5/24/2008,21:43:14,7.12
5/24/2008,21:58:14,6.96
5/24/2008,22:13:14,6.96
5/24/2008,22:28:14,6.96
5/24/2008,22:43:14,6.96
5/24/2008,22:58:14,6.81
5/24/2008,23:13:14,6.81
5/24/2008,23:28:14,6.81
5/24/2008,23:43:14,6.81
5/24/2008,23:58:14,6.81
5/25/2008,0:13:14,6.65
5/25/2008,0:28:14,6.65
5/25/2008,0:43:14,6.65
5/25/2008,0:58:14,6.65
5/25/2008,1:13:14,6.49
5/25/2008,1:28:14,6.49
5/25/2008,1:43:14,6.49
5/25/2008,1:58:14,6.49
5/25/2008,2:13:14,6.34
5/25/2008,2:28:14,6.34
5/25/2008,2:43:14,6.34
5/25/2008,2:58:14,6.34
5/25/2008,3:13:14,6.34
5/25/2008,3:28:14,6.34
5/25/2008,3:43:14,6.18
5/25/2008,3:58:14,6.18
5/25/2008,4:13:14,6.18
5/25/2008,4:28:14,6.18
5/25/2008,4:43:14,6.02
5/25/2008,4:58:14,6.02
5/25/2008,5:13:14,6.02
5/25/2008,5:28:14,6.02
5/25/2008,5:43:14,6.02
5/25/2008,5:58:14,5.87
5/25/2008,6:13:14,5.87
5/25/2008,6:28:14,5.87
5/25/2008,6:43:14,5.87
5/25/2008,6:58:14,5.87
5/25/2008,7:13:14,5.87
5/25/2008,7:28:14,5.87
5/25/2008,7:43:14,5.87
5/25/2008,7:58:14,5.87
5/25/2008,8:13:14,5.87
5/25/2008,8:28:14,5.87
5/25/2008,8:43:14,5.87
5/25/2008,8:58:14,6.02
5/25/2008,9:13:14,6.02
5/25/2008,9:28:14,5.87
5/25/2008,9:43:14,6.02
5/25/2008,9:58:14,6.02
5/25/2008,10:13:14,5.87
5/25/2008,10:28:14,6.18
5/25/2008,10:43:14,6.34
5/25/2008,10:58:14,6.49
5/25/2008,11:13:14,6.65
5/25/2008,11:28:14,6.65
5/25/2008,11:43:14,6.81
5/25/2008,11:58:14,6.65
5/25/2008,12:13:14,6.81
5/25/2008,12:28:14,6.65
5/25/2008,12:43:14,7.12
5/25/2008,12:58:14,7.43
5/25/2008,13:13:14,7.43
5/25/2008,13:28:14,7.58
5/25/2008,13:43:14,7.74
5/25/2008,13:58:14,7.89
5/25/2008,14:13:14,7.89
5/25/2008,14:28:14,8.05
5/25/2008,14:43:14,8.21
5/25/2008,14:58:14,8.36
5/25/2008,15:13:14,8.36
5/25/2008,15:28:14,8.52
5/25/2008,15:43:14,8.52
5/25/2008,15:58:14,8.67
5/25/2008,16:13:14,8.67
5/25/2008,16:28:14,8.82
5/25/2008,16:43:14,8.82
5/25/2008,16:58:14,8.82
5/25/2008,17:13:14,8.82
5/25/2008,17:28:14,8.98
5/25/2008,17:43:14,8.82
5/25/2008,17:58:14,8.98
5/25/2008,18:13:14,8.82
5/25/2008,18:28:14,8.82
5/25/2008,18:43:14,8.82
5/25/2008,18:58:14,8.82
5/25/2008,19:13:14,8.82
5/25/2008,19:28:14,8.67
5/25/2008,19:43:14,8.67
5/25/2008,19:58:14,8.52
5/25/2008,20:13:14,8.52
5/25/2008,20:28:14,8.52
5/25/2008,20:43:14,8.52
5/25/2008,20:58:14,8.36
5/25/2008,21:13:14,8.36
5/25/2008,21:28:14,8.21
5/25/2008,21:43:14,8.21
5/25/2008,21:58:14,8.21
5/25/2008,22:13:14,8.21
5/25/2008,22:28:14,8.05
5/25/2008,22:43:14,8.05
5/25/2008,22:58:14,8.05
5/25/2008,23:13:14,8.05
5/25/2008,23:28:14,8.05
5/25/2008,23:43:14,7.89
5/25/2008,23:58:14,7.89
5/26/2008,0:13:14,7.89
5/26/2008,0:28:14,7.89
5/26/2008,0:43:14,7.89
5/26/2008,0:58:14,7.89
5/26/2008,1:13:14,7.89
5/26/2008,1:28:14,7.74
5/26/2008,1:43:14,7.74
5/26/2008,1:58:14,7.74
5/26/2008,2:13:14,7.74
5/26/2008,2:28:14,7.74
5/26/2008,2:43:14,7.58
5/26/2008,2:58:14,7.58
5/26/2008,3:13:14,7.58
5/26/2008,3:28:14,7.58
5/26/2008,3:43:14,7.43
5/26/2008,3:58:14,7.43
5/26/2008,4:13:14,7.43
5/26/2008,4:28:14,7.27
5/26/2008,4:43:14,7.27
5/26/2008,4:58:14,7.27
5/26/2008,5:13:14,7.27
5/26/2008,5:28:14,7.12
5/26/2008,5:43:14,7.12
5/26/2008,5:58:14,7.12
5/26/2008,6:13:14,7.12
5/26/2008,6:28:14,6.96
5/26/2008,6:43:14,6.96
5/26/2008,6:58:14,6.96
5/26/2008,7:13:14,6.96
5/26/2008,7:28:14,6.96
5/26/2008,7:43:14,6.96
5/26/2008,7:58:14,6.96
5/26/2008,8:13:14,6.96
5/26/2008,8:28:14,7.12
5/26/2008,8:43:14,7.12
5/26/2008,8:58:14,7.12
5/26/2008,9:13:14,7.12
5/26/2008,9:28:14,7.27
5/26/2008,9:43:14,7.27
5/26/2008,9:58:14,7.27
5/26/2008,10:13:14,6.96
5/26/2008,10:28:14,7.27
5/26/2008,10:43:14,7.43
5/26/2008,10:58:14,7.58
5/26/2008,11:13:14,7.58
5/26/2008,11:28:14,7.74
5/26/2008,11:43:14,7.89
5/26/2008,11:58:14,7.74
5/26/2008,12:13:14,7.89
5/26/2008,12:28:14,7.74
5/26/2008,12:43:14,8.05
5/26/2008,12:58:14,8.36
5/26/2008,13:13:14,8.52
5/26/2008,13:28:14,8.52
5/26/2008,13:43:14,8.67
5/26/2008,13:58:14,8.82
5/26/2008,14:13:14,8.82
5/26/2008,14:28:14,8.98
5/26/2008,14:43:14,8.98
5/26/2008,14:58:14,9.13
5/26/2008,15:13:14,9.13
5/26/2008,15:28:14,9.29
5/26/2008,15:43:14,9.44
5/26/2008,15:58:14,9.44
5/26/2008,16:13:14,9.6
5/26/2008,16:28:14,9.6
5/26/2008,16:43:14,9.76
5/26/2008,16:58:14,9.76
5/26/2008,17:13:14,9.76
5/26/2008,17:28:14,9.76
5/26/2008,17:43:14,9.76
5/26/2008,17:58:14,9.76
5/26/2008,18:13:14,9.76
5/26/2008,18:28:14,9.76
5/26/2008,18:43:14,9.76
5/26/2008,18:58:14,9.6
5/26/2008,19:13:14,9.6
5/26/2008,19:28:14,9.44
5/26/2008,19:43:14,9.44
5/26/2008,19:58:14,9.29
5/26/2008,20:13:14,9.13
5/26/2008,20:28:14,9.29
5/26/2008,20:43:14,9.13
5/26/2008,20:58:14,9.13
5/26/2008,21:13:14,8.98
5/26/2008,21:28:14,8.98
5/26/2008,21:43:14,8.98
5/26/2008,21:58:14,8.98
5/26/2008,22:13:14,8.82
5/26/2008,22:28:14,8.82
5/26/2008,22:43:14,8.82
5/26/2008,22:58:14,8.67
5/26/2008,23:13:14,8.67
5/26/2008,23:28:14,8.67
5/26/2008,23:43:14,8.67
5/26/2008,23:58:14,8.52
5/27/2008,0:13:14,8.52
5/27/2008,0:28:14,8.52
5/27/2008,0:43:14,8.52
5/27/2008,0:58:14,8.52
5/27/2008,1:13:14,8.36
5/27/2008,1:28:14,8.36
5/27/2008,1:43:14,8.36
5/27/2008,1:58:14,8.21
5/27/2008,2:13:14,8.21
5/27/2008,2:28:14,8.21
5/27/2008,2:43:14,8.21
5/27/2008,2:58:14,8.05
5/27/2008,3:13:14,8.05
5/27/2008,3:28:14,8.05
5/27/2008,3:43:14,7.89
5/27/2008,3:58:14,7.89
5/27/2008,4:13:14,7.89
5/27/2008,4:28:14,7.74
5/27/2008,4:43:14,7.74
5/27/2008,4:58:14,7.74
5/27/2008,5:13:14,7.74
5/27/2008,5:28:14,7.58
5/27/2008,5:43:14,7.58
5/27/2008,5:58:14,7.58
5/27/2008,6:13:14,7.43
5/27/2008,6:28:14,7.43
5/27/2008,6:43:14,7.43
5/27/2008,6:58:14,7.43
5/27/2008,7:13:14,7.43
5/27/2008,7:28:14,7.43
5/27/2008,7:43:14,7.43
5/27/2008,7:58:14,7.43
5/27/2008,8:13:14,7.58
5/27/2008,8:28:14,7.58
5/27/2008,8:43:14,7.58
5/27/2008,8:58:14,7.58
5/27/2008,9:13:14,7.74
5/27/2008,9:28:14,7.74
5/27/2008,9:43:14,7.74
5/27/2008,9:58:14,7.74
5/27/2008,10:13:14,7.58
5/27/2008,10:28:14,7.89
5/27/2008,10:43:14,8.05
5/27/2008,10:58:14,8.05
5/27/2008,11:13:14,8.21
5/27/2008,11:28:14,8.36
5/27/2008,11:43:14,8.52
5/27/2008,11:58:14,8.36
5/27/2008,12:13:14,8.52
5/27/2008,12:28:14,8.36
5/27/2008,12:43:14,8.52
5/27/2008,12:58:14,8.82
5/27/2008,13:13:14,9.13
5/27/2008,13:28:14,9.13
5/27/2008,13:43:14,9.29
5/27/2008,13:58:14,9.29
5/27/2008,14:13:14,9.44
5/27/2008,14:28:14,9.6
5/27/2008,14:43:14,9.76
5/27/2008,14:58:14,9.91
5/27/2008,15:13:14,9.76
5/27/2008,15:28:14,9.91
5/27/2008,15:43:14,9.91
5/27/2008,15:58:14,9.91
5/27/2008,16:13:14,10.23
5/27/2008,16:28:14,10.23
5/27/2008,16:43:14,10.23
5/27/2008,16:58:14,10.23
5/27/2008,17:13:14,10.38
5/27/2008,17:28:14,10.23
5/27/2008,17:43:14,10.38
5/27/2008,17:58:14,10.23
5/27/2008,18:13:14,10.23
5/27/2008,18:28:14,10.23
5/27/2008,18:43:14,10.23
5/27/2008,18:58:14,10.07
5/27/2008,19:13:14,10.07
5/27/2008,19:28:14,10.07
5/27/2008,19:43:14,9.91
5/27/2008,19:58:14,9.76
5/27/2008,20:13:14,9.76
5/27/2008,20:28:14,9.76
5/27/2008,20:43:14,9.6
5/27/2008,20:58:14,9.6
5/27/2008,21:13:14,9.44
5/27/2008,21:28:14,9.44
5/27/2008,21:43:14,9.44
5/27/2008,21:58:14,9.44
5/27/2008,22:13:14,9.29
5/27/2008,22:28:14,9.29
5/27/2008,22:43:14,9.29
5/27/2008,22:58:14,9.13
5/27/2008,23:13:14,9.13
5/27/2008,23:28:14,9.13
5/27/2008,23:43:14,9.13
5/27/2008,23:58:14,8.98
5/28/2008,0:13:14,8.98
5/28/2008,0:28:14,8.98
5/28/2008,0:43:14,8.82
5/28/2008,0:58:14,8.82
5/28/2008,1:13:14,8.82
5/28/2008,1:28:14,8.82
5/28/2008,1:43:14,8.67
5/28/2008,1:58:14,8.67
5/28/2008,2:13:14,8.67
5/28/2008,2:28:14,8.52
5/28/2008,2:43:14,8.52
5/28/2008,2:58:14,8.52
5/28/2008,3:13:14,8.52
5/28/2008,3:28:14,8.52
5/28/2008,3:43:14,8.36
5/28/2008,3:58:14,8.36
5/28/2008,4:13:14,8.36
5/28/2008,4:28:14,8.21
5/28/2008,4:43:14,8.21
5/28/2008,4:58:14,8.21
5/28/2008,5:13:14,8.05
5/28/2008,5:28:14,8.05
5/28/2008,5:43:14,8.05
5/28/2008,5:58:14,8.05
5/28/2008,6:13:14,8.05
5/28/2008,6:28:14,7.89
5/28/2008,6:43:14,7.89
5/28/2008,6:58:14,7.89
5/28/2008,7:13:14,8.05
5/28/2008,7:28:14,7.89
5/28/2008,7:43:14,8.05
5/28/2008,7:58:14,8.05
5/28/2008,8:13:14,8.05
5/28/2008,8:28:14,8.21
5/28/2008,8:43:14,8.21
5/28/2008,8:58:14,8.21
5/28/2008,9:13:14,8.36
5/28/2008,9:28:14,8.36
5/28/2008,9:43:14,8.36
5/28/2008,9:58:14,8.52
5/28/2008,10:13:14,8.21
5/28/2008,10:28:14,8.36
5/28/2008,10:43:14,8.67
5/28/2008,10:58:14,8.82
5/28/2008,11:13:14,8.98
5/28/2008,11:28:14,9.13
5/28/2008,11:43:14,9.29
5/28/2008,11:58:14,9.13
5/28/2008,12:13:14,9.29
5/28/2008,12:28:14,9.13
5/28/2008,12:43:14,9.44
5/28/2008,12:58:14,9.76
5/28/2008,13:13:14,9.91
5/28/2008,13:28:14,9.91
5/28/2008,13:43:14,10.07
5/28/2008,13:58:14,10.23
5/28/2008,14:13:14,10.38
5/28/2008,14:28:14,10.54
5/28/2008,14:43:14,10.54
5/28/2008,14:58:14,10.54
5/28/2008,15:13:14,10.54
5/28/2008,15:28:14,10.69
5/28/2008,15:43:14,10.85
5/28/2008,15:58:14,10.85
5/28/2008,16:13:14,10.85
5/28/2008,16:28:14,10.85
5/28/2008,16:43:14,10.85
5/28/2008,16:58:14,10.85
5/28/2008,17:13:14,10.85
5/28/2008,17:28:14,11.01
5/28/2008,17:43:14,11.01
5/28/2008,17:58:14,10.85
5/28/2008,18:13:14,10.69
5/28/2008,18:28:14,10.69
5/28/2008,18:43:14,10.69
5/28/2008,18:58:14,10.69
5/28/2008,19:13:14,10.69
5/28/2008,19:28:14,10.54
5/28/2008,19:43:14,10.54
5/28/2008,19:58:14,10.38
5/28/2008,20:13:14,10.23
5/28/2008,20:28:14,10.23
5/28/2008,20:43:14,10.23
5/28/2008,20:58:14,10.07
5/28/2008,21:13:14,10.07
5/28/2008,21:28:14,10.07
5/28/2008,21:43:14,10.07
5/28/2008,21:58:14,9.91
5/28/2008,22:13:14,9.91
5/28/2008,22:28:14,9.91
5/28/2008,22:43:14,9.91
5/28/2008,22:58:14,9.76
5/28/2008,23:13:14,9.76
5/28/2008,23:28:14,9.76
5/28/2008,23:43:14,9.76
5/28/2008,23:58:14,9.6
5/29/2008,0:13:14,9.6
5/29/2008,0:28:14,9.6
